user_input,reference,category,source_doc,notes,query_length,query_style,synthesizer_name
Berapa batas paling banyak sks yang boleh diambil mahasiswa S1 tiap semester?,"Batas maksimal SKS yang dapat diambil mahasiswa program S1 diatur berdasarkan semester yang ditempuh: maksimal 20 SKS untuk semester 1 dan 2, serta maksimal 24 SKS untuk semester 3 dan seterusnya.",lexical,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Pasal 27 (1),MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Berapa jumlah sks terendah yang wajib diselesaikan sebelum boleh mengikuti KKT?,"Untuk mengikuti Kuliah Kerja Terpadu (KKT), mahasiswa wajib telah meluluskan minimal 110 SKS dan mencantumkan mata kuliah KKT tersebut dalam KRS.",lexical,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Pasal 55 (6),MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Apakah mahasiswa S1 boleh mengambil kuliah di luar Unsrat hingga 40 SKS?,"Ya, mahasiswa S1 UNSRAT dapat menempuh sebagian beban belajar di luar UNSRAT paling lama 2 semester (setara 40 SKS), yang dapat diambil pada semester 5, 6, atau 7, di perguruan tinggi/lembaga yang memiliki MoU resmi dengan UNSRAT. Ketentuan ini dikecualikan bagi mahasiswa Program Studi Kedokteran dan Keperawatan.",lexical,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Pasal 15 (2),MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Berapa tahun atau semester paling lama mahasiswa S1 boleh menyelesaikan studinya?,"Masa studi maksimal program sarjana (S1) di UNSRAT adalah 14 semester, dengan masa tempuh kurikulum normal 7–8 semester.",lexical,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Pasal 9 & Pasal 13,MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Apakah syarat kelulusan Dengan Pujian bagi mahasiswa S1 melarang adanya nilai C atau C+?,"Ya. Syarat kelulusan Dengan Pujian (Cum Laude) bagi mahasiswa S1 UNSRAT secara eksplisit melarang adanya nilai C atau C+ pada mata kuliah apa pun, meskipun IPK berada pada rentang 3,76–4,00.",lexical,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Pasal 68 (1),MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Apakah mahasiswa program sarjana yang sudah dikeluarkan atau putus studi boleh mendaftar kuliah lagi di Unsrat?,"Tidak. Mahasiswa program sarjana yang telah dinyatakan putus studi (Drop Out) di UNSRAT tidak diperbolehkan mendaftar atau kembali kuliah lagi, termasuk melalui jalur Rekognisi Pembelajaran Lampau (RPL).",lexical,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Pasal 62 (15): Pasal 14 (5),LONG,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Berapa kalikah pengajuan cuti akademik maksimal yang boleh diajukan mahasiswa S1?,"Mahasiswa program S1 UNSRAT dapat mengajukan cuti akademik maksimal 2 kali selama masa studi, dengan durasi maksimal 1 semester untuk setiap kali pengajuan.",lexical,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Pasal 49 (6),MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Berapakah syarat IPK minimal yang harus diperoleh mahasiswa program sarjana agar bisa mendapat predikat Dengan Pujian?,"Syarat IPK minimal untuk predikat Dengan Pujian (Cum Laude) bagi mahasiswa program sarjana (S1) UNSRAT adalah 3,76 (berada pada rentang 3,76–4,00).",lexical,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Pasal 68 (1),LONG,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Kapan kegiatan perkuliahan untuk semester genap tahun ajaran 2025/2026 dimulai?,Kegiatan perkuliahan semester genap tahun ajaran 2025/2026 di UNSRAT dimulai pada tanggal 9 Februari 2026.,lexical,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,Jadwal Perkuliahan,MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
kapan mulai UAS untuk semester genap ini?,Ujian Akhir Semester (UAS) genap tahun akademik 2025/2026 dimulai pada tanggal 1 Juni 2026 dan berlangsung hingga 5 Juni 2026.,lexical,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,Jadwal UAS,SHORT,POOR_GRAMMAR,single_hop_specific_query_synthesizer
Kapan jadwal pelaksanaan ujian tengah semester atau UTS genap tahun 2026?,Ujian Tengah Semester (UTS) genap tahun akademik 2025/2026 dilaksanakan pada tanggal 30 Maret sampai dengan 3 April 2026.,lexical,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,Jadwal UTS,MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Bulan apa saja upacara wisuda Unsrat semester genap ini diadakan?,"Upacara wisuda semester genap 2025/2026 diadakan dalam 3 periode: Februari (Periode IV, 19 Februari 2026), April (Periode V, 16 April 2026), dan Juni (Periode VI, 18 Juni 2026).",lexical,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,Jadwal Wisuda,MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Tahun berapa universitas sam ratulangi pertama kali diresmikan sebagai universitas negeri?,"Universitas Sam Ratulangi pertama kali resmi berstatus Universitas Negeri pada 4 Juli 1961, saat masih bernama UNISUT (Universitas Sulawesi Utara dan Tengah). Nama Universitas Sam Ratulangi (UNSRAT) baru diresmikan kemudian, pada 14 September 1965.",lexical,01_sejarah.md,Sejarah Pendirian,MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Berapa akreditasi institusi Unsrat yang berlaku sekarang?,"UNSRAT saat ini memegang status Akreditasi Unggul (Peringkat A, nilai 367) dari BAN-PT, berlaku untuk periode 2022–2027.",lexical,07_akreditasi.md,Akreditasi Institusi,SHORT,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Berapa hari batas waktu untuk melakukan banding nilai secara tertulis setelah nilai diunggah?,Batas waktu pengajuan banding nilai secara tertulis adalah paling lambat 7 hari setelah periode penginputan/pengunggahan nilai ditutup.,lexical,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Banding Nilai; Pasal 59 (10),MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
Berapa nilai minimal kelulusan untuk mata kuliah skripsi/tugas akhir?,"Nilai minimal kelulusan mata kuliah Skripsi/Tugas Akhir berbeda tiap jenjang: untuk program Sarjana (S1) adalah C (setara 2,0), sedangkan untuk program Magister, Doktor, Profesi, dan Spesialis-1 adalah B (setara 3,0).",lexical,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,Pasal 67 (3); Pasal 21 (3); Pasal 59 (3) dan (4),MEDIUM,PERFECT_GRAMMAR,single_hop_specific_query_synthesizer
